Dev Rules, prelim

Time: 72000
Collisions: 4254, Walls: 1, Out of Bounds: 0

-10 Performance: 0.97848330, 0.98527560 and 0.98840930, 0.99302100
 -9 Performance: 0.97999460, 0.98580400 and 0.99028760, 0.99163680
 -8 Performance: 0.97971040, 0.98465590 and 0.98496650, 0.99065980
 -7 Performance: 0.98010490, 0.98789580 and 0.98345340, 0.98765300
 -6 Performance: 0.98244680, 0.98704960 and 0.98337750, 0.98941030
 -5 Performance: 0.97840150, 0.98654090 and 0.98375340, 0.98775040
 -4 Performance: 0.98251770, 0.98682240 and 0.98422210, 0.98971960
 -3 Performance: 0.98020760, 0.98750280 and 0.98038200, 0.98470400
 -2 Performance: 0.97937150, 0.98630590 and 0.98449530, 0.98600760
 -1 Performance: 0.98117230, 0.98742590 and 0.98076490, 0.98390720
  0 Performance: 0.98150710, 0.98747780 and 0.97931310, 0.98484350
  1 Performance: 0.98066010, 0.98622230 and 0.98001850, 0.98322610
  2 Performance: 0.98101840, 0.98776110 and 0.97779180, 0.98251080
  3 Performance: 0.98196670, 0.98710290 and 0.97680020, 0.98216440
  4 Performance: 0.98188920, 0.98784770 and 0.97707570, 0.98279410
  5 Performance: 0.98124590, 0.98651620 and 0.97739620, 0.98093030
  6 Performance: 0.97987200, 0.98690270 and 0.97591290, 0.98251040
  7 Performance: 0.98000720, 0.98631300 and 0.97493300, 0.98024540
  8 Performance: 0.98204400, 0.98754030 and 0.97378100, 0.98145460
  9 Performance: 0.98054730, 0.98529490 and 0.97388190, 0.97988880

Grad, prelim

Time: 72000
Collisions: 396, Walls: 41, Out of Bounds: 384

-10 Performance: 0.99521460, 0.99990200 and 0.96879140, 0.97093730
 -9 Performance: 0.99621240, 1.00036800 and 0.97231970, 0.97066950
 -8 Performance: 0.99708640, 1.00072500 and 0.97160710, 0.97794910
 -7 Performance: 0.99770720, 1.00099600 and 0.97676430, 0.98309500
 -6 Performance: 0.99787670, 1.00106900 and 0.98060680, 0.98579250
 -5 Performance: 0.99778960, 1.00065100 and 0.98053100, 0.99068090
 -4 Performance: 0.99885930, 1.00044900 and 0.98471660, 0.99282120
 -3 Performance: 0.99878470, 1.00055600 and 0.98640590, 0.99209070
 -2 Performance: 0.99929730, 1.00065400 and 0.98717620, 0.99138370
 -1 Performance: 0.99863490, 1.00067200 and 0.98684870, 0.99183560
  0 Performance: 0.99885360, 1.00046100 and 0.98457650, 0.99212130
  1 Performance: 0.99897700, 1.00078800 and 0.98687520, 0.99095360
  2 Performance: 0.99876990, 1.00056200 and 0.98328970, 0.99240300
  3 Performance: 0.99831430, 1.00045600 and 0.98428480, 0.99041550
  4 Performance: 0.99814250, 1.00064300 and 0.98532800, 0.99184500
  5 Performance: 0.99756720, 1.00069000 and 0.98295520, 0.98950620
  6 Performance: 0.99780440, 1.00109000 and 0.98301380, 0.98845560
  7 Performance: 0.99697190, 1.00092000 and 0.98208410, 0.98813720
  8 Performance: 0.99662590, 1.00020700 and 0.98143860, 0.98999810
  9 Performance: 0.99600740, 1.00041000 and 0.98068320, 0.98730880
